codigo_equipe,data_equipe,tb_descricao_equipe
111,2025-04-23,Equipe Pro Suspensão
112,2025-04-23,Equipe Master Transmissão
113,2025-04-23,Equipe Expert Diagnóstico
114,2025-04-23,Equipe Future Híbridos
115,2025-04-24,Equipe Veloz Motores
116,2025-04-24,Equipe Raio Elétrica
117,2025-04-24,Equipe Firme Suspensão
118,2025-04-24,Equipe Ágil Transmissão
119,2025-04-24,Equipe Precisa Diagnóstico
120,2025-04-24,Equipe Eco Híbridos
121,2025-04-25,Equipe Prime Motores
122,2025-04-25,Equipe Ultra Elétrica
123,2025-04-25,Equipe Mega Suspensão
124,2025-04-25,Equipe Top Transmissão
125,2025-04-25,Equipe Alerta Diagnóstico
126,2025-04-25,Equipe Verde Híbridos
127,2025-04-26,Equipe Alfa Motores
128,2025-04-26,Equipe Beta Elétrica
129,2025-04-26,Equipe Gama Suspensão
130,2025-04-26,Equipe Delta Transmissão
131,2025-04-26,Equipe Omega Diagnóstico
132,2025-04-26,Equipe Sigma Híbridos
133,2025-04-27,Equipe Tech Motores
134,2025-04-27,Equipe Smart Elétrica
135,2025-04-27,Equipe Pro Suspensão
136,2025-04-27,Equipe Master Transmissão
137,2025-04-27,Equipe Expert Diagnóstico
138,2025-04-27,Equipe Future Híbridos
139,2025-04-28,Equipe Veloz Motores
140,2025-04-28,Equipe Raio Elétrica
141,2025-04-28,Equipe Gama Suspensão
142,2025-04-28,Equipe Delta Transmissão
143,2025-04-28,Equipe Omega Diagnóstico
144,2025-04-28,Equipe Sigma Híbridos
145,2025-04-29,Equipe Tech Motores
146,2025-04-29,Equipe Smart Elétrica
147,2025-04-29,Equipe Pro Suspensão
148,2025-04-29,Equipe Master Transmissão
149,2025-04-29,Equipe Expert Diagnóstico
150,2025-04-29,Equipe Future Híbridos
151,2025-04-30,Equipe Veloz Motores
152,2025-04-30,Equipe Raio Elétrica
153,2025-04-30,Equipe Firme Suspensão
154,2025-04-30,Equipe Ágil Transmissão
155,2025-04-30,Equipe Precisa Diagnóstico
156,2025-04-30,Equipe Eco Híbridos
157,2025-05-01,Equipe Prime Motores
158,2025-05-01,Equipe Ultra Elétrica
159,2025-05-01,Equipe Mega Suspensão
160,2025-05-01,Equipe Top Transmissão
161,2025-05-01,Equipe Alerta Diagnóstico
162,2025-05-01,Equipe Verde Híbridos
163,2025-05-02,Equipe Alfa Motores
164,2025-05-02,Equipe Beta Elétrica
165,2025-05-02,Equipe Gama Suspensão
166,2025-05-02,Equipe Delta Transmissão
167,2025-05-02,Equipe Omega Diagnóstico
168,2025-05-02,Equipe Sigma Híbridos
169,2025-05-03,Equipe Tech Motores
170,2025-05-03,Equipe Smart Elétrica
171,2025-05-03,Equipe Pro Suspensão
172,2025-05-03,Equipe Master Transmissão
173,2025-05-03,Equipe Expert Diagnóstico
174,2025-05-03,Equipe Future Híbridos
175,2025-05-04,Equipe Veloz Motores
176,2025-05-04,Equipe Raio Elétrica
177,2025-05-04,Equipe Firme Suspensão
178,2025-05-04,Equipe Ágil Transmissão
179,2025-05-04,Equipe Precisa Diagnóstico
180,2025-05-04,Equipe Eco Híbridos
